# Xi, RijLong, Xi, RijLat
3.135864855696863174e+02 8.229944061323548124e-03 3.135864855696863174e+02 -7.427031532082055019e-04
3.172757383410943817e+02 7.414848245240343583e-03 3.172757383410943817e+02 1.237603905995904047e-03
3.209649911125024460e+02 7.129272818672583584e-03 3.209649911125024460e+02 1.483416650516555541e-03
3.246542438839105102e+02 7.842195594843672304e-03 3.246542438839105671e+02 1.850401781530333937e-03
3.283434966553185745e+02 9.262928649960963656e-03 3.283434966553185745e+02 1.472686645894163635e-03
3.320327494267266957e+02 1.044188145489427511e-02 3.320327494267266957e+02 -3.766985456713559371e-04
3.357220021981347600e+02 1.069780124734730914e-02 3.357220021981347600e+02 -2.140598140608039601e-03
3.394112549695428243e+02 9.758276047441578199e-03 3.394112549695428243e+02 -3.036461122718364398e-03
3.431005077409508885e+02 8.588537804212061783e-03 3.431005077409508885e+02 -5.040573117323206287e-03
3.467897605123590097e+02 8.222799549621205573e-03 3.467897605123590097e+02 -8.049837698636415004e-03
3.504790132837670740e+02 8.594825897532049064e-03 3.504790132837670740e+02 -8.149290034534188015e-03
3.541682660551750814e+02 9.641255185145931189e-03 3.541682660551751383e+02 -6.816680746530325713e-03
3.578575188265832026e+02 1.087006998139142602e-02 3.578575188265832026e+02 -6.980425251770408512e-03
3.615467715979912668e+02 1.141325353462898859e-02 3.615467715979912668e+02 -6.879761881945029890e-03
3.652360243693992743e+02 1.127147014305034979e-02 3.652360243693993311e+02 -5.429534653694113346e-03
3.689252771408074523e+02 1.052052403414603307e-02 3.689252771408074523e+02 -5.019670815146533120e-03
3.726145299122155166e+02 8.883267404138826817e-03 3.726145299122155166e+02 -5.751540238463189597e-03
