# f, Suu, Svv, Sww
3.757575757575757486e-02 3.248329070088187276e-01 2.058611188936950998e-01 4.631008555047319564e-02
3.787878787878787984e-02 3.799076562628667664e-01 2.462049297959384431e-01 4.641339467064950486e-02
3.818181818181818482e-02 3.728517458593681444e-01 2.459582961567140513e-01 4.802287084163842784e-02
3.848484848484848286e-02 4.158274850389676036e-01 2.305658538023569459e-01 5.165091943783112899e-02
3.878787878787878785e-02 3.435735110020477490e-01 1.763437205280648790e-01 4.699971170651697644e-02
3.909090909090909283e-02 3.227093286538880723e-01 1.824651242368866833e-01 4.593311908241943381e-02
3.939393939393939087e-02 2.757034636578913900e-01 1.794301017446624513e-01 3.920086034574449957e-02
3.969696969696969585e-02 3.190298571856533538e-01 1.889335233446850781e-01 4.207509404857411733e-02
4.000000000000000083e-02 3.058735802303429452e-01 1.778123757732149590e-01 4.291981397534517378e-02
4.030303030303030581e-02 3.161139947724175281e-01 2.344033169119915661e-01 4.931769399350239419e-02
4.060606060606060386e-02 3.317171462764173517e-01 2.522991123117163115e-01 4.872249665350771031e-02
4.090909090909090884e-02 2.857941446822748754e-01 2.109974554052859441e-01 4.165024804416309762e-02
4.121212121212121382e-02 2.794405214141297278e-01 1.773872356361235469e-01 3.971170708895263579e-02
4.151515151515151186e-02 2.770857926348060385e-01 1.824229399407854835e-01 3.820185812570182915e-02
4.181818181818181684e-02 2.633653060451165429e-01 1.881031745084943974e-01 4.208974986497813348e-02
4.212121212121212183e-02 2.478583859347041063e-01 1.852786544058673823e-01 4.393293755312527998e-02
4.242424242424242681e-02 2.468089521748022819e-01 2.007784849043148245e-01 4.468042702966078250e-02
4.272727272727272485e-02 2.394487476460684661e-01 1.784862185822889691e-01 4.428872944229633041e-02
4.303030303030302983e-02 2.271517507665106184e-01 1.736806043444994729e-01 4.274226072115796388e-02
4.333333333333333481e-02 2.356621740755880934e-01 1.876025674081276962e-01 3.732340403776788357e-02
4.363636363636363980e-02 2.250821745659694340e-01 1.829972201039782587e-01 4.109609992223633296e-02
4.393939393939393784e-02 2.103682934451721609e-01 1.578064338779460729e-01 4.180331756168635671e-02
4.424242424242424282e-02 2.243364844400630442e-01 1.498473148984250658e-01 3.979412094836527053e-02
4.454545454545454780e-02 1.989197258980603122e-01 1.446992913389192614e-01 3.935868955514379430e-02
4.484848484848484584e-02 2.267367455288925304e-01 1.640192303249091987e-01 4.089825579069368555e-02
4.515151515151515083e-02 2.202072158368847676e-01 1.679082332978852066e-01 3.801490952487879965e-02
4.545454545454545581e-02 2.116253654071774126e-01 1.649935022351110003e-01 3.900339813390873295e-02
4.575757575757576079e-02 1.816583565508246012e-01 1.478132428280803656e-01 4.059199259527031256e-02
4.606060606060605883e-02 1.991659405942708405e-01 1.570903117994842946e-01 3.836524106383527866e-02
4.636363636363636381e-02 1.687782933880879466e-01 1.532575874195213628e-01 3.645684120747260532e-02
4.666666666666666879e-02 1.841414481422020410e-01 1.526285423769510041e-01 3.480469649145741945e-02
4.696969696969696684e-02 2.095012428741611366e-01 1.551583319970147035e-01 3.456687237697351339e-02
4.727272727272727182e-02 1.721531342658246810e-01 1.555112985955732219e-01 3.700656515452663969e-02
4.757575757575757680e-02 1.753232304978656619e-01 1.478075308178675995e-01 4.019050811316043220e-02
4.787878787878788178e-02 1.790253910225837464e-01 1.461181237127034127e-01 3.992917490627831412e-02
4.818181818181817982e-02 1.588540657450639437e-01 1.355524571179026749e-01 3.328260377737382592e-02
4.848484848484848481e-02 1.324741018994873287e-01 1.240226033932349120e-01 3.360371863913641510e-02
4.878787878787878979e-02 1.487413337022299165e-01 1.343292663555998856e-01 3.270444914177832868e-02
4.909090909090908783e-02 1.608211893378291568e-01 1.435221696213467291e-01 3.494615024636568701e-02
4.939393939393939281e-02 1.605687604070700769e-01 1.498565401242523687e-01 3.567668943640497220e-02
4.969696969696969779e-02 1.445867179424811522e-01 1.516149549413605135e-01 3.530085663232410825e-02
5.000000000000000278e-02 1.411116464538791082e-01 1.266086949475368484e-01 3.423957919505400682e-02
5.030303030303030082e-02 1.338013422380042450e-01 1.142987146129160331e-01 3.250461855505165643e-02
5.060606060606060580e-02 1.366128823107148615e-01 1.261776352395085898e-01 3.714596532684482505e-02
5.090909090909091078e-02 1.381547766956056356e-01 1.459694476650736650e-01 3.827544145760115174e-02
5.121212121212120882e-02 1.352835909786622715e-01 1.356831285876168025e-01 3.458836203405186299e-02
5.151515151515151381e-02 1.263384168465916391e-01 1.319846724088619971e-01 3.300978871550303700e-02
5.181818181818181879e-02 1.130367471307098248e-01 1.214653897552983863e-01 3.161097696226011777e-02
5.212121212121212377e-02 1.105488037605429075e-01 1.034259863984758054e-01 3.285101764179679251e-02
5.242424242424242181e-02 1.204782889709707511e-01 1.275187553579700817e-01 3.371102576343347479e-02
5.272727272727272679e-02 1.148075434151258067e-01 1.219931844809771793e-01 3.222484130679502401e-02
5.303030303030303177e-02 1.008749187555846721e-01 1.105042426851459703e-01 3.254205459270370637e-02
5.333333333333333676e-02 1.073369303636125816e-01 1.229264988656436214e-01 3.290009539665907090e-02
5.363636363636363480e-02 9.695620375739698316e-02 1.225264309973637389e-01 3.092126310238807116e-02
5.393939393939393978e-02 9.790348863047904082e-02 1.104536083896354159e-01 2.958129622087239674e-02
5.424242424242424476e-02 9.581477341369527834e-02 9.764962488273395969e-02 2.764820048541124023e-02
5.454545454545454281e-02 9.613669467862000217e-02 1.007540946123488268e-01 2.728093516323978895e-02
5.484848484848484779e-02 8.904307656851372099e-02 1.105908668180954763e-01 2.866689685622030026e-02
5.515151515151515277e-02 9.565228057772495740e-02 1.053706487263700725e-01 2.896033025590499105e-02
5.545454545454545775e-02 1.077998610251995892e-01 1.061695984511630969e-01 2.992909327723503390e-02
5.575757575757575579e-02 9.950061348237643211e-02 1.013379962703565146e-01 2.957909597419949507e-02
