# z, Alpha
4.050000000000000000e+02 6.868435410168301225e-03
4.075000000000000000e+02 -2.693211157131993657e-03
4.100000000000000000e+02 5.927696572930294013e-03
4.125000000000000000e+02 -5.236570600477688693e-03
4.150000000000000000e+02 6.897905223706651476e-03
4.175000000000000000e+02 -3.509264885631221791e-03
4.200000000000000000e+02 5.561895585424220245e-03
4.225000000000000000e+02 -8.566413426899191497e-03
4.250000000000000000e+02 4.307750070510981549e-03
4.275000000000000000e+02 -8.911044066469258826e-03
4.300000000000000000e+02 1.380988113444254735e-03
4.325000000000000000e+02 -7.461491673908278791e-03
4.350000000000000000e+02 2.860540810223446452e-03
4.375000000000000000e+02 -7.063501688797270764e-03
4.400000000000000000e+02 5.697578733530589586e-03
4.425000000000000000e+02 -6.771708856187973365e-03
4.450000000000000000e+02 5.317795193493930241e-03
4.475000000000000000e+02 -1.017879494543327649e-02
4.500000000000000000e+02 5.827984287781164813e-03
4.525000000000000000e+02 -1.473964174457113342e-02
4.550000000000000000e+02 7.164355700831923600e-03
4.575000000000000000e+02 -1.790280311393176518e-02
4.600000000000000000e+02 1.008226403390273702e-02
4.625000000000000000e+02 -1.977353756877751195e-02
4.650000000000000000e+02 9.298489690032210250e-03
4.675000000000000000e+02 -1.953470503062675404e-02
4.700000000000000000e+02 8.774111076550562133e-03
4.725000000000000000e+02 -1.979878929097739215e-02
4.750000000000000000e+02 9.684638268547474810e-03
4.775000000000000000e+02 -1.961384993379618885e-02
4.800000000000000000e+02 1.416414566527177642e-02
4.825000000000000000e+02 -2.106631707208775697e-02
4.850000000000000000e+02 1.944856628349799638e-02
4.875000000000000000e+02 -2.409125572951125241e-02
4.900000000000000000e+02 2.625853471897659358e-02
4.925000000000000000e+02 -3.012810264343006306e-02
4.950000000000000000e+02 3.529408339164455399e-02
4.975000000000000000e+02 -3.694000747471612445e-02
5.000000000000000000e+02 4.428945193031350036e-02
5.025000000000000000e+02 -4.332514869837778004e-02
5.050000000000000000e+02 5.676048859033395316e-02
5.075000000000000000e+02 -5.199132208714578318e-02
5.100000000000000000e+02 6.735600796965855730e-02
5.125000000000000000e+02 -6.315786237291806660e-02
5.150000000000000000e+02 7.434925185290090777e-02
5.175000000000000000e+02 -7.305123694940457435e-02
5.200000000000000000e+02 8.106651952037204067e-02
5.225000000000000000e+02 -8.178188360359675557e-02
5.250000000000000000e+02 8.941540202296902051e-02
5.275000000000000000e+02 -8.814128575772731122e-02
5.300000000000000000e+02 9.680678247990991137e-02
5.325000000000000000e+02 -8.853131157084800917e-02
5.350000000000000000e+02 1.013200726142576003e-01
5.375000000000000000e+02 -8.601088833985225113e-02
5.400000000000000000e+02 1.012665442213197681e-01
5.425000000000000000e+02 -8.058876952951518624e-02
5.450000000000000000e+02 9.923748841541457644e-02
5.475000000000000000e+02 -8.486354683750438332e-02
5.500000000000000000e+02 1.068516908689705613e-01
5.525000000000000000e+02 -1.001211347141738733e-01
5.550000000000000000e+02 1.133103575459089435e-01
5.575000000000000000e+02 -9.880983096231249485e-02
5.600000000000000000e+02 9.178478819094966490e-02
5.625000000000000000e+02 -6.825845506040079114e-02
5.650000000000000000e+02 5.437130627127085419e-02
5.675000000000000000e+02 -4.490692995149279942e-02
5.700000000000000000e+02 4.301768977543881517e-02
5.725000000000000000e+02 -3.523014568418240261e-02
5.750000000000000000e+02 4.558994588551816551e-02
5.775000000000000000e+02 -2.670329270654581491e-02
5.800000000000000000e+02 4.820429041565195416e-02
5.825000000000000000e+02 -2.543654508303306097e-02
5.850000000000000000e+02 5.617851604247964259e-02
5.875000000000000000e+02 -3.988607621701876355e-02
5.900000000000000000e+02 6.921665266454003762e-02
5.925000000000000000e+02 -5.926600744667529647e-02
5.950000000000000000e+02 8.266206981975668389e-02
5.975000000000000000e+02 -7.989098038203740204e-02
6.000000000000000000e+02 9.674394882235212711e-02
6.025000000000000000e+02 -1.010067805801374285e-01
6.050000000000000000e+02 1.123478565360084558e-01
6.075000000000000000e+02 -1.203608557077354285e-01
6.100000000000000000e+02 1.284507004931395857e-01
6.125000000000000000e+02 -1.370987692406134550e-01
6.150000000000000000e+02 1.440120239888119658e-01
6.175000000000000000e+02 -1.522163478836003059e-01
6.200000000000000000e+02 1.591308809660273715e-01
6.225000000000000000e+02 -1.669256472285249870e-01
6.250000000000000000e+02 1.740221473273902419e-01
6.275000000000000000e+02 -1.813410991307333187e-01
6.300000000000000000e+02 1.882167683638103772e-01
6.325000000000000000e+02 -1.947720044416410556e-01
6.350000000000000000e+02 2.008656291709198238e-01
6.375000000000000000e+02 -2.063324315894319860e-01
6.400000000000000000e+02 2.114915153847324036e-01
6.425000000000000000e+02 -2.162010952672996089e-01
6.450000000000000000e+02 2.245689614798759282e-01
6.475000000000000000e+02 -2.280912030013391711e-01
6.500000000000000000e+02 2.326947402520881669e-01
6.525000000000000000e+02 -2.332464020592343867e-01
6.550000000000000000e+02 2.228782658692672336e-01
6.575000000000000000e+02 -2.165218969016979855e-01
6.600000000000000000e+02 2.117314581005707019e-01
6.625000000000000000e+02 -2.051045688426191560e-01
6.650000000000000000e+02 2.001175441178150438e-01
6.675000000000000000e+02 -1.937804874734952165e-01
6.700000000000000000e+02 1.887538439142727453e-01
6.725000000000000000e+02 -1.824060355140263989e-01
6.750000000000000000e+02 1.775268225921408649e-01
6.775000000000000000e+02 -1.711540546326367762e-01
6.800000000000000000e+02 1.662830160230824306e-01
6.825000000000000000e+02 -1.599963613054559419e-01
6.850000000000000000e+02 1.550049837587367529e-01
6.875000000000000000e+02 -1.488686840572669978e-01
6.900000000000000000e+02 1.436988063657088921e-01
6.925000000000000000e+02 -1.377260909437603154e-01
6.950000000000000000e+02 1.323822547053187804e-01
6.975000000000000000e+02 -1.265680222443556213e-01
7.000000000000000000e+02 1.210717470571291421e-01
7.025000000000000000e+02 -1.154252110899909450e-01
7.050000000000000000e+02 1.097559759206177959e-01
7.075000000000000000e+02 -1.042822291069855911e-01
7.100000000000000000e+02 9.839240895169414081e-02
7.125000000000000000e+02 -9.304833227984633803e-02
7.150000000000000000e+02 8.689567789915919604e-02
7.175000000000000000e+02 -8.158624790983906583e-02
7.200000000000000000e+02 7.515270938840058756e-02
7.225000000000000000e+02 -6.975306976998194020e-02
7.250000000000000000e+02 6.305989919791911424e-02
7.275000000000000000e+02 -5.745597546880756856e-02
7.300000000000000000e+02 5.048194443654917263e-02
7.325000000000000000e+02 -4.458285497429728683e-02
7.350000000000000000e+02 3.756709809822438711e-02
7.375000000000000000e+02 -3.117936502942581650e-02
7.400000000000000000e+02 2.366127651053162931e-02
7.425000000000000000e+02 -1.694935094482452609e-02
7.450000000000000000e+02 8.147597950762129962e-03
7.475000000000000000e+02 -4.349347144579671955e-03
7.500000000000000000e+02 1.099245317526481580e-02
7.525000000000000000e+02 -1.214473431591596951e-02
7.550000000000000000e+02 1.896018690941516857e-02
