 z u v w u_mag
4.800000000000000000e+02 1.698728166594816358e+01 8.667689895725059657e+00 1.575365212856725096e-03 1.907083084211300061e+01
4.860000000000000000e+02 1.700256936604205649e+01 8.660033804023067106e+00 -1.671683856009489617e-03 1.908097359487772238e+01
4.920000000000000000e+02 1.701663995129962359e+01 8.652631850363276200e+00 1.773262507454881343e-03 1.909015652933593543e+01
4.980000000000000000e+02 1.703038730259920541e+01 8.645756860755229312e+00 -1.879094611739471352e-03 1.909929859714290501e+01
5.040000000000000000e+02 1.704348670121144238e+01 8.639422745747802779e+00 1.990497418598218080e-03 1.910811524656986649e+01
5.100000000000000000e+02 1.705657189569906507e+01 8.633638632368937138e+00 -2.106504222506530490e-03 1.911717461616241565e+01
5.160000000000000000e+02 1.706952941456463790e+01 8.628488584042862897e+00 2.228188454301019417e-03 1.912641248756465728e+01
5.220000000000000000e+02 1.708212564047066451e+01 8.623767802909124924e+00 -2.354840400624351373e-03 1.913552698674877561e+01
5.280000000000000000e+02 1.709450784702768900e+01 8.619693478919845830e+00 2.487224165545522721e-03 1.914474654804572040e+01
5.340000000000000000e+02 1.710658066916185760e+01 8.616415975049752873e+00 -2.624675406043796601e-03 1.915405266084845337e+01
5.400000000000000000e+02 1.711839021397583949e+01 8.613925456131070746e+00 2.767715461049297717e-03 1.916348097141997542e+01
5.460000000000000000e+02 1.712875852805339960e+01 8.611419391858962769e+00 -2.915754965803373476e-03 1.917161759363235518e+01
5.520000000000000000e+02 1.713919887985479917e+01 8.610093631224588151e+00 3.069431937097740187e-03 1.918035088321072834e+01
5.580000000000000000e+02 1.714831144007396091e+01 8.607839144243801144e+00 -3.227979625770773051e-03 1.918748264882081500e+01
5.640000000000000000e+02 1.715786763820374716e+01 8.607868057963976582e+00 3.391762447141911160e-03 1.919603672369607850e+01
5.700000000000000000e+02 1.716571817673013456e+01 8.605093238086489293e+00 -3.560341864235977774e-03 1.920181040514459880e+01
5.760000000000000000e+02 1.717333307292134137e+01 8.606229229079289667e+00 3.733983932621823265e-03 1.920912710977749427e+01
5.820000000000000000e+02 1.718029840967965782e+01 8.603206347141790999e+00 -3.912721471929127802e-03 1.921400083810062398e+01
5.880000000000000000e+02 1.718691308081179159e+01 8.604918214807486976e+00 4.096509465447761844e-03 1.922068197313235061e+01
5.940000000000000000e+02 1.719348547476454669e+01 8.602900400671698478e+00 -4.285509418437504110e-03 1.922565620311586798e+01
6.000000000000000000e+02 1.719752420215593247e+01 8.604082922417321200e+00 4.478726328806623136e-03 1.922979723446302813e+01
6.060000000000000000e+02 1.720404884284969782e+01 8.605171459267653589e+00 -4.676559592823020112e-03 1.923611952293815008e+01
6.120000000000000000e+02 1.720511474717295641e+01 8.605144735739784778e+00 4.875848520966051015e-03 1.923706092833095127e+01
6.180000000000000000e+02 1.721116214728098015e+01 8.609266767077748739e+00 -5.080987969345247650e-03 1.924431351187008943e+01
